state,district,constituency,constituency_hi,constituency_kn,region_type,population,registered_voters,male_voters,female_voters,youth_voters,senior_voters,literacy_rate,transport_accessibility,awareness_score,weather_score,campaign_intensity,holiday_factor,historical_turnout,turnout_9am,turnout_11am,turnout_1pm,turnout_3pm,turnout_5pm,current_turnout,participation_momentum,risk_level,actual_final_turnout
Andhra Pradesh,Vizianagaram,Vizianagaram Assembly,Vizianagaram Assembly,Vizianagaram Assembly,Urban,454327,326720,165730,160990,114334,42519,82.29,84,70,71,34,0,65.48,12.09,26.75,40.07,50.74,58.22,50.74,Declining,Medium,63.39
Andhra Pradesh,West Godavari,West Godavari Assembly,West Godavari Assembly,West Godavari Assembly,Urban,436687,267739,141134,126605,74198,28016,88.57,87,69,90,69,0,64.44,13.87,32.08,43.38,54.39,67.92,54.39,Declining,Low,72.35
Andhra Pradesh,YSR Kadapa,YSR Kadapa Assembly,YSR Kadapa Assembly,YSR Kadapa Assembly,Rural,304123,202482,107360,95122,73640,27307,78.25,68,48,78,62,0,66.7,13.22,28.93,40.86,52.42,64.08,52.42,Declining,Low,67.41
Arunachal Pradesh,Tawang,Tawang Assembly,Tawang Assembly,Tawang Assembly,Urban,625101,383564,198869,184695,145220,37744,81.29,81,77,89,76,0,69.12,16.39,32.41,46.17,56.34,66.69,56.34,Declining,Low,71.7
Arunachal Pradesh,West Kameng,West Kameng Assembly,West Kameng Assembly,West Kameng Assembly,Urban,512460,321414,172766,148648,94993,29906,87.19,78,68,98,52,0,66.1,13.29,27.41,40.96,53.66,62.65,53.66,Stable,Low,68.13
Arunachal Pradesh,East Kameng,East Kameng Assembly,East Kameng Assembly,East Kameng Assembly,Urban,592724,378167,191435,186732,114969,53140,76.11,96,65,72,55,0,62.07,12.27,26.01,39.19,51.28,58.04,51.28,Declining,Low,64.24
Arunachal Pradesh,Papum Pare,Papum Pare Assembly,Papum Pare Assembly,Papum Pare Assembly,Urban,572942,363837,189478,174359,123720,47157,77.48,98,81,52,55,0,64.55,12.65,29.22,41.72,51.85,63.01,51.85,Declining,Low,68.04
Arunachal Pradesh,Kurung Kumey,Kurung Kumey Assembly,Kurung Kumey Assembly,Kurung Kumey Assembly,Rural,203049,148810,75740,73070,41149,13529,77.93,97,66,87,83,1,75.19,17.35,34.17,46.33,63.46,74.67,63.46,Stable,Low,78.66
Arunachal Pradesh,Kra Daadi,Kra Daadi Assembly,Kra Daadi Assembly,Kra Daadi Assembly,Rural,218304,150893,80391,70502,42001,15523,69.04,63,62,91,43,0,66.0,13.73,30.17,44.12,54.36,67.13,54.36,Declining,Low,70.2
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Assembly,Lower Subansiri Assembly,Lower Subansiri Assembly,Rural,606712,432274,229161,203113,114484,58372,75.91,61,67,91,53,0,76.71,17.75,32.01,50.69,61.89,74.84,61.89,Declining,Low,78.81
Arunachal Pradesh,Upper Subansiri,Upper Subansiri Assembly,Upper Subansiri Assembly,Upper Subansiri Assembly,Rural,246234,151187,81358,69829,56573,21291,68.68,63,68,55,20,0,71.31,14.37,27.82,43.55,54.23,61.11,54.23,Declining,Medium,67.39
Arunachal Pradesh,West Siang,West Siang Assembly,West Siang Assembly,West Siang Assembly,Urban,269780,180541,97129,83412,57219,21031,87.2,68,69,79,54,0,63.77,14.7,28.37,37.55,48.47,61.5,48.47,Declining,Low,64.12
Arunachal Pradesh,East Siang,East Siang Assembly,East Siang Assembly,East Siang Assembly,Urban,193807,139703,71136,68567,38157,20181,82.47,92,63,41,57,0,62.33,12.0,24.18,35.43,46.01,55.01,46.01,Declining,Medium,58.24
Arunachal Pradesh,Siang,Siang Assembly,Siang Assembly,Siang Assembly,Urban,336542,232513,119486,113027,74792,34349,79.0,85,68,77,62,0,67.39,14.53,30.09,43.22,53.74,64.45,53.74,Declining,Low,68.74
Arunachal Pradesh,Upper Siang,Upper Siang Assembly,Upper Siang Assembly,Upper Siang Assembly,Rural,330159,232165,117932,114233,86880,21700,69.31,58,59,80,47,0,67.47,13.47,27.76,40.86,50.24,61.23,50.24,Declining,Medium,66.79
Arunachal Pradesh,Lower Siang,Lower Siang Assembly,Lower Siang Assembly,Lower Siang Assembly,Rural,346619,221120,118375,102745,55427,32379,69.67,70,67,56,64,0,70.07,17.75,31.37,46.95,57.72,70.51,57.72,Declining,Low,74.24
Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley Assembly,Lower Dibang Valley Assembly,Lower Dibang Valley Assembly,Rural,331456,220622,115933,104689,61394,20602,76.84,62,66,67,70,0,65.03,15.05,29.86,41.33,51.78,64.23,51.78,Declining,Low,68.31
Arunachal Pradesh,Dibang Valley,Dibang Valley Assembly,Dibang Valley Assembly,Dibang Valley Assembly,Rural,616341,441541,233676,207865,156435,65382,64.41,66,78,37,52,0,75.1,17.67,32.97,48.94,59.8,70.79,59.8,Declining,Low,75.45
Arunachal Pradesh,Anjaw,Anjaw Assembly,Anjaw Assembly,Anjaw Assembly,Rural,436434,317105,167372,149733,98923,43449,69.34,72,68,73,73,0,72.04,15.85,31.75,47.22,58.0,68.42,58.0,Declining,Low,75.64
Arunachal Pradesh,Lohit,Lohit Assembly,Lohit Assembly,Lohit Assembly,Rural,391791,243406,130257,113149,80256,24562,68.53,61,74,60,69,0,67.24,12.66,27.83,41.84,52.24,63.0,52.24,Declining,Low,68.34
Arunachal Pradesh,Namsai,Namsai Assembly,Namsai Assembly,Namsai Assembly,Rural,554572,357710,192008,165702,109945,46955,71.19,57,56,76,51,1,73.7,13.65,31.32,43.38,56.26,63.52,56.26,Declining,Medium,70.29
Arunachal Pradesh,Changlang,Changlang Assembly,Changlang Assembly,Changlang Assembly,Rural,438930,307193,156260,150933,95732,37455,64.71,78,43,62,49,0,67.91,12.28,29.75,40.79,52.33,62.17,52.33,Declining,Medium,65.62
Arunachal Pradesh,Tirap,Tirap Assembly,Tirap Assembly,Tirap Assembly,Rural,206734,140948,72478,68470,44833,17645,72.03,45,55,77,73,0,62.18,15.1,25.62,38.12,49.63,59.46,49.63,Stable,Low,63.99
Arunachal Pradesh,Longding,Longding Assembly,Longding Assembly,Longding Assembly,Urban,441949,315030,169503,145527,112756,29328,73.29,79,80,73,68,0,67.77,15.08,30.47,45.41,54.35,68.12,54.35,Declining,Low,71.1
Assam,Baksa,Baksa Assembly,Baksa Assembly,Baksa Assembly,Rural,369139,247716,131665,116051,63434,31370,67.62,49,68,98,39,0,67.06,12.53,31.31,41.07,54.98,62.39,54.98,Declining,Low,68.16
Assam,Barpeta,Barpeta Assembly,Barpeta Assembly,Barpeta Assembly,Rural,592432,365138,191128,174010,118616,50263,64.71,66,71,83,59,1,68.47,15.37,28.93,38.06,52.51,61.97,52.51,Stable,Medium,65.25
Assam,Biswanath,Biswanath Assembly,Biswanath Assembly,Biswanath Assembly,Urban,603739,376076,200919,175157,133146,48856,81.37,87,69,90,56,0,62.79,12.03,27.03,37.37,46.55,57.95,46.55,Declining,Medium,60.75
Assam,Bongaigaon,Bongaigaon Assembly,Bongaigaon Assembly,Bongaigaon Assembly,Rural,591597,360475,191767,168708,113909,41776,68.33,72,75,97,61,0,74.38,15.22,33.28,50.85,63.33,76.3,63.33,Declining,Low,80.72
Assam,Cachar,Cachar Assembly,Cachar Assembly,Cachar Assembly,Rural,628396,386770,197398,189372,99728,44028,75.76,57,61,87,75,0,72.15,15.47,33.36,47.0,64.52,74.15,64.52,Stable,Low,79.3
Assam,Charaideo,Charaideo Assembly,Charaideo Assembly,Charaideo Assembly,Rural,574030,367557,190570,176987,135135,36148,64.61,71,57,61,64,1,75.32,14.9,29.74,43.09,55.74,69.95,55.74,Declining,Medium,73.6
Assam,Chirang,Chirang Assembly,Chirang Assembly,Chirang Assembly,Urban,214560,132137,66800,65337,47231,12880,87.73,78,81,50,83,0,69.78,12.61,29.37,42.51,55.08,66.8,55.08,Declining,Low,69.93
Assam,Darrang,Darrang Assembly,Darrang Assembly,Darrang Assembly,Rural,306161,204306,103758,100548,65825,18790,77.6,67,52,88,52,0,67.81,14.47,31.46,41.99,54.13,65.28,54.13,Declining,Low,68.6
Assam,Dhemaji,Dhemaji Assembly,Dhemaji Assembly,Dhemaji Assembly,Rural,242823,162766,84502,78264,40592,21973,66.36,60,67,98,46,0,69.48,15.87,32.0,45.62,59.21,68.23,59.21,Declining,Low,75.03
Assam,Dhubri,Dhubri Assembly,Dhubri Assembly,Dhubri Assembly,Rural,572092,349302,179415,169887,97148,50245,71.43,75,46,63,53,0,63.67,14.05,29.72,40.59,52.49,62.19,52.49,Declining,Low,65.58
Assam,Dibrugarh,Dibrugarh Assembly,Dibrugarh Assembly,Dibrugarh Assembly,Urban,386111,277921,142002,135919,82155,36153,76.28,84,69,78,44,0,60.53,11.96,25.67,35.3,46.8,54.51,46.8,Declining,Low,58.96
Assam,Goalpara,Goalpara Assembly,Goalpara Assembly,Goalpara Assembly,Rural,572417,412454,219557,192897,155262,56417,64.83,65,66,55,60,0,77.31,17.35,33.16,46.54,62.17,72.34,62.17,Stable,Low,78.18
Assam,Golaghat,Golaghat Assembly,Golaghat Assembly,Golaghat Assembly,Rural,436028,272096,144339,127757,66003,39415,64.88,44,70,98,72,0,71.52,16.76,34.13,45.95,63.16,71.78,63.16,Stable,Low,77.59
Assam,Hailakandi,Hailakandi Assembly,Hailakandi Assembly,Hailakandi Assembly,Rural,347469,210766,112587,98179,72361,20016,72.65,55,53,61,43,0,72.8,14.22,29.99,44.02,54.64,62.25,54.64,Declining,Medium,68.19
Assam,Hojai,Hojai Assembly,Hojai Assembly,Hojai Assembly,Rural,424883,264566,135074,129492,94846,38974,65.47,56,86,56,43,0,73.57,15.91,31.0,44.86,57.49,73.42,57.49,Declining,Low,76.63
Assam,Jorhat,Jorhat Assembly,Jorhat Assembly,Jorhat Assembly,Rural,465195,302626,162449,140177,111494,29720,78.2,47,63,88,63,0,72.74,17.1,34.81,46.13,60.54,70.5,60.54,Declining,Low,77.2
Assam,Kamrup Metropolitan,Kamrup Metropolitan Assembly,Kamrup Metropolitan Assembly,Kamrup Metropolitan Assembly,Urban,532744,390058,210094,179964,132144,56759,75.89,87,73,80,59,1,65.34,14.83,28.85,38.56,51.73,57.76,51.73,Stable,Low,64.02
Assam,Kamrup,Kamrup Assembly,Kamrup Assembly,Kamrup Assembly,Rural,301826,204787,107137,97650,74521,24946,70.06,77,48,76,81,0,71.08,15.99,35.19,47.37,60.83,74.59,60.83,Declining,Low,77.75
Assam,Karbi Anglong,Karbi Anglong Assembly,Karbi Anglong Assembly,Karbi Anglong Assembly,Rural,386604,260590,132154,128436,91683,39056,68.61,56,78,98,56,1,63.77,13.57,25.07,35.56,46.88,55.49,46.88,Stable,Medium,60.5
Assam,Karimganj,Karimganj Assembly,Karimganj Assembly,Karimganj Assembly,Rural,554717,378580,200760,177820,139108,35096,64.75,51,63,81,40,1,71.47,16.22,31.81,43.77,52.25,63.99,52.25,Declining,Medium,69.25
Assam,Kokrajhar,Kokrajhar Assembly,Kokrajhar Assembly,Kokrajhar Assembly,Urban,611413,418868,218673,200195,114055,42134,76.53,84,66,67,59,1,71.18,14.63,27.01,42.04,50.53,60.28,50.53,Declining,High,65.99
Assam,Lakhimpur,Lakhimpur Assembly,Lakhimpur Assembly,Lakhimpur Assembly,Rural,370792,268931,137127,131804,81765,30515,67.37,55,65,81,59,0,66.64,12.13,29.71,39.23,52.94,64.41,52.94,Declining,Low,67.25
Assam,Majuli,Majuli Assembly,Majuli Assembly,Majuli Assembly,Rural,483899,295496,150765,144731,91402,35115,72.48,56,75,83,87,0,71.46,16.95,34.82,49.47,61.74,73.37,61.74,Declining,Low,77.21
Assam,Morigaon,Morigaon Assembly,Morigaon Assembly,Morigaon Assembly,Rural,553929,340564,175573,164991,90757,48665,78.38,73,65,77,59,0,76.77,15.67,32.98,46.94,61.92,74.8,61.92,Declining,Low,80.12
Assam,Nagaon,Nagaon Assembly,Nagaon Assembly,Nagaon Assembly,Rural,645761,444774,231772,213002,155305,42884,75.18,67,66,90,41,1,68.71,13.26,29.62,39.15,52.94,61.64,52.94,Declining,Low,66.95
Assam,Nalbari,Nalbari Assembly,Nalbari Assembly,Nalbari Assembly,Rural,556826,400546,202414,198132,134041,46766,73.36,43,78,89,55,0,73.21,14.1,34.19,46.74,61.21,69.55,61.21,Declining,Low,75.77
Assam,Dima Hasao,Dima Hasao Assembly,Dima Hasao Assembly,Dima Hasao Assembly,Urban,520941,329342,176331,153011,119066,48674,73.5,82,74,69,83,0,70.15,15.95,29.25,45.48,56.79,66.28,56.79,Declining,Low,70.98
Assam,Sivasagar,Sivasagar Assembly,Sivasagar Assembly,Sivasagar Assembly,Rural,265530,195309,104199,91110,70625,26678,75.33,67,71,60,66,0,71.29,16.98,31.98,43.86,56.57,70.17,56.57,Declining,Low,74.56
Assam,Sonitpur,Sonitpur Assembly,Sonitpur Assembly,Sonitpur Assembly,Rural,546245,344995,184356,160639,114266,37796,72.44,65,65,72,45,0,71.81,16.19,31.85,45.89,59.2,69.19,59.2,Declining,Low,72.49
Assam,South Salmara-Mankachar,South Salmara-Mankachar Assembly,South Salmara-Mankachar Assembly,South Salmara-Mankachar Assembly,Urban,361002,240886,129194,111692,65975,35940,75.28,98,71,81,86,0,66.33,12.41,28.2,39.0,50.6,61.87,50.6,Declining,Low,66.97
Assam,Tinsukia,Tinsukia Assembly,Tinsukia Assembly,Tinsukia Assembly,Rural,334470,210087,108350,101737,74581,19426,73.73,64,73,94,83,0,75.56,17.9,35.44,51.74,65.16,77.31,65.16,Declining,Low,82.61
Assam,Udalguri,Udalguri Assembly,Udalguri Assembly,Udalguri Assembly,Urban,475806,328354,171262,157092,112435,31160,73.97,70,67,69,67,1,61.37,12.83,24.8,34.69,44.51,53.21,44.51,Declining,Medium,56.42
Assam,West Karbi Anglong,West Karbi Anglong Assembly,West Karbi Anglong Assembly,West Karbi Anglong Assembly,Urban,442805,286284,149158,137126,88478,27165,79.45,73,59,80,56,0,65.13,15.21,28.85,41.62,52.97,61.32,52.97,Declining,Low,65.91
Bihar,Araria,Araria Assembly,Araria Assembly,Araria Assembly,Rural,522962,356144,186851,169293,121636,42452,68.97,60,73,83,39,1,65.63,13.21,26.91,35.71,48.49,57.85,48.49,Stable,High,60.61
Bihar,Arwal,Arwal Assembly,Arwal Assembly,Arwal Assembly,Rural,377133,277568,148129,129439,99817,33179,58.96,60,75,42,65,0,62.05,14.38,25.09,37.8,46.67,57.15,46.67,Declining,Medium,60.39
Bihar,Aurangabad,Aurangabad Assembly,Aurangabad Assembly,Aurangabad Assembly,Rural,585804,370921,197251,173670,134911,43220,60.29,83,60,71,45,0,58.31,12.31,23.99,35.14,45.8,53.64,45.8,Stable,Low,56.92
Bihar,Banka,Banka Assembly,Banka Assembly,Banka Assembly,Rural,525454,379145,202007,177138,96935,40259,55.91,70,66,84,60,0,61.14,12.17,29.59,41.73,48.35,61.68,48.35,Declining,Low,64.44
Bihar,Begusarai,Begusarai Assembly,Begusarai Assembly,Begusarai Assembly,Rural,326470,216666,113090,103576,66828,28169,57.23,51,71,77,52,0,62.74,14.3,29.07,41.71,51.51,60.03,51.51,Declining,Low,64.56
Bihar,Bhagalpur,Bhagalpur Assembly,Bhagalpur Assembly,Bhagalpur Assembly,Rural,216487,156096,80094,76002,39934,21499,69.7,68,67,81,75,0,59.54,13.62,26.38,40.33,51.59,59.5,51.59,Stable,Low,62.95
Bihar,Bhojpur,Bhojpur Assembly,Bhojpur Assembly,Bhojpur Assembly,Rural,377096,232017,120007,112010,80539,33767,62.01,70,62,53,49,0,67.94,14.08,28.19,39.42,51.24,60.82,51.24,Declining,Medium,64.99
Bihar,Buxar,Buxar Assembly,Buxar Assembly,Buxar Assembly,Rural,538690,340353,182919,157434,110438,44277,64.91,37,59,74,77,0,57.94,12.19,24.52,35.33,45.6,53.84,45.6,Declining,Low,56.75
Bihar,Darbhanga,Darbhanga Assembly,Darbhanga Assembly,Darbhanga Assembly,Rural,520858,350523,179194,171329,105269,50406,56.14,63,69,56,55,0,61.63,13.31,26.46,38.45,49.99,57.16,49.99,Declining,Low,61.33
Bihar,East Champaran (Motihari),East Champaran (Motihari) Assembly,East Champaran (Motihari) Assembly,East Champaran (Motihari) Assembly,Urban,301999,184988,95248,89740,54753,27489,78.17,66,72,78,67,0,62.3,11.87,28.27,37.88,46.98,58.96,46.98,Declining,Medium,62.13
Bihar,Gaya,Gaya Assembly,Gaya Assembly,Gaya Assembly,Rural,222668,153338,77697,75641,49716,21337,69.15,54,60,54,86,0,62.4,12.73,29.29,39.28,52.94,60.66,52.94,Declining,Low,65.55
Bihar,Gopalganj,Gopalganj Assembly,Gopalganj Assembly,Gopalganj Assembly,Rural,507825,359200,192086,167114,107527,35625,58.76,61,75,55,64,0,60.7,13.3,25.3,38.02,45.93,55.34,45.93,Declining,Low,60.91
Bihar,Jamui,Jamui Assembly,Jamui Assembly,Jamui Assembly,Rural,184358,128556,67602,60954,38560,17105,66.08,65,61,51,69,0,61.17,11.65,25.34,35.18,47.3,54.38,47.3,Declining,Low,60.15
Bihar,Jehanabad,Jehanabad Assembly,Jehanabad Assembly,Jehanabad Assembly,Urban,478522,330000,175069,154931,106587,43166,68.69,63,70,71,54,0,58.45,11.56,25.13,33.88,47.24,54.22,47.24,Stable,Low,57.8
Bihar,Kaimur (Bhabua),Kaimur (Bhabua) Assembly,Kaimur (Bhabua) Assembly,Kaimur (Bhabua) Assembly,Urban,471126,318017,170654,147363,96375,43049,70.56,90,77,58,57,1,58.79,12.93,24.2,34.99,42.43,53.04,42.43,Declining,Medium,56.11
Bihar,Katihar,Katihar Assembly,Katihar Assembly,Katihar Assembly,Rural,256559,172140,91996,80144,42834,16707,58.64,49,52,56,51,0,61.3,14.47,27.68,36.18,49.26,57.18,49.26,Stable,Low,61.19
Bihar,Khagaria,Khagaria Assembly,Khagaria Assembly,Khagaria Assembly,Rural,401427,252574,128164,124410,64732,35119,61.09,68,71,66,58,0,65.65,13.23,30.22,41.19,53.23,59.84,53.23,Declining,Low,65.91
Bihar,Kishanganj,Kishanganj Assembly,Kishanganj Assembly,Kishanganj Assembly,Urban,298947,204746,109566,95180,74887,28615,70.08,69,75,87,20,0,59.47,13.23,25.36,33.59,45.36,50.43,45.36,Stable,Medium,56.03
Bihar,Lakhisarai,Lakhisarai Assembly,Lakhisarai Assembly,Lakhisarai Assembly,Rural,240545,166223,88876,77347,41321,22746,62.36,63,62,65,57,0,63.56,15.15,28.36,39.37,48.74,59.23,48.74,Declining,Low,63.18
Bihar,Madhepura,Madhepura Assembly,Madhepura Assembly,Madhepura Assembly,Rural,429062,300945,154168,146777,89281,38895,60.67,40,90,68,45,1,61.23,11.71,25.53,35.43,45.52,52.01,45.52,Declining,Medium,57.07
Bihar,Madhubani,Madhubani Assembly,Madhubani Assembly,Madhubani Assembly,Rural,240428,144664,76898,67766,54483,19976,70.35,51,65,46,90,0,63.39,11.97,26.57,40.01,49.62,58.43,49.62,Declining,Low,63.34
Bihar,Munger (Monghyr),Munger (Monghyr) Assembly,Munger (Monghyr) Assembly,Munger (Monghyr) Assembly,Rural,593093,388437,196756,191681,100465,37340,65.54,59,62,72,64,0,63.43,13.74,28.88,40.31,54.94,62.7,54.94,Stable,Low,67.64
Bihar,Muzaffarpur,Muzaffarpur Assembly,Muzaffarpur Assembly,Muzaffarpur Assembly,Urban,620900,436642,227959,208683,146376,40389,66.36,73,73,55,48,0,61.22,11.73,25.19,36.02,48.86,58.05,48.86,Stable,Low,61.37
Bihar,Nalanda,Nalanda Assembly,Nalanda Assembly,Nalanda Assembly,Rural,484677,296412,154724,141688,108441,40593,58.65,59,64,73,70,1,60.38,12.1,23.61,35.64,47.27,54.05,47.27,Stable,Medium,58.04
Bihar,Nawada,Nawada Assembly,Nawada Assembly,Nawada Assembly,Rural,275457,170214,89901,80313,62967,17613,60.95,42,48,82,64,0,62.61,14.71,27.67,37.84,50.9,60.02,50.9,Stable,Low,63.07
Bihar,Patna,Patna Assembly,Patna Assembly,Patna Assembly,Urban,623624,421671,218315,203356,114251,62704,76.97,63,74,71,56,0,59.68,12.56,22.82,35.25,42.47,53.78,42.47,Declining,High,56.14
Bihar,Purnia (Purnea),Purnia (Purnea) Assembly,Purnia (Purnea) Assembly,Purnia (Purnea) Assembly,Rural,357558,256618,131992,124626,81069,32185,63.13,68,50,84,67,0,61.01,13.43,25.9,38.61,51.78,62.03,51.78,Stable,Low,64.65
Bihar,Rohtas,Rohtas Assembly,Rohtas Assembly,Rohtas Assembly,Rural,201727,145883,75420,70463,41362,19627,68.04,78,74,83,31,0,64.42,15.32,26.69,42.13,53.49,62.66,53.49,Stable,Low,66.61
Bihar,Saharsa,Saharsa Assembly,Saharsa Assembly,Saharsa Assembly,Urban,400894,257688,131245,126443,97789,28886,72.18,84,75,50,82,0,52.4,12.69,22.6,34.62,43.67,52.3,43.67,Stable,Low,55.73
Bihar,Samastipur,Samastipur Assembly,Samastipur Assembly,Samastipur Assembly,Rural,299119,188912,97365,91547,46735,22517,64.59,58,66,89,42,0,67.77,16.95,29.27,45.24,55.79,65.44,55.79,Declining,Low,70.94
Bihar,Saran,Saran Assembly,Saran Assembly,Saran Assembly,Rural,317328,209678,112576,97102,56798,26397,66.77,50,82,91,70,0,68.09,14.65,31.33,44.81,55.04,66.49,55.04,Declining,Low,72.14
Bihar,Sheikhpura,Sheikhpura Assembly,Sheikhpura Assembly,Sheikhpura Assembly,Rural,496364,346479,179995,166484,111603,45686,69.87,57,70,64,30,0,66.28,14.44,28.44,37.9,52.83,62.01,52.83,Stable,Low,64.96
Bihar,Sheohar,Sheohar Assembly,Sheohar Assembly,Sheohar Assembly,Urban,485763,343517,183589,159928,111791,33706,77.02,81,73,60,49,0,57.59,11.23,25.49,34.98,46.01,51.7,46.01,Declining,Low,57.2
Bihar,Sitamarhi,Sitamarhi Assembly,Sitamarhi Assembly,Sitamarhi Assembly,Rural,370135,224490,116356,108134,71540,24863,60.04,60,66,85,49,0,68.14,15.78,30.38,42.68,56.84,63.1,56.84,Stable,Low,69.44
Bihar,Siwan,Siwan Assembly,Siwan Assembly,Siwan Assembly,Urban,302788,205637,107705,97932,77336,26015,70.59,69,64,76,78,0,57.32,13.13,25.52,34.56,46.14,54.82,46.14,Stable,Low,59.0
Bihar,Supaul,Supaul Assembly,Supaul Assembly,Supaul Assembly,Rural,263457,182572,97209,85363,46310,25873,62.36,52,75,69,65,0,54.97,13.25,24.67,36.1,45.77,51.38,45.77,Declining,Low,57.02
Bihar,Vaishali,Vaishali Assembly,Vaishali Assembly,Vaishali Assembly,Rural,538478,389395,198409,190986,106472,45588,70.76,61,59,75,74,0,64.7,15.17,27.97,41.96,54.09,60.35,54.09,Stable,Low,66.16
Bihar,West Champaran,West Champaran Assembly,West Champaran Assembly,West Champaran Assembly,Urban,241001,147773,77953,69820,51136,15750,70.0,65,76,74,75,0,53.58,12.03,23.4,35.67,42.27,51.63,42.27,Declining,Low,55.49
Chandigarh (UT),Chandigarh,Chandigarh Assembly,Chandigarh Assembly,Chandigarh Assembly,Rural,430870,269634,137166,132468,89410,26727,70.05,53,67,76,65,0,70.18,17.51,32.23,45.73,55.78,69.79,55.78,Declining,Low,73.24
Chhattisgarh,Balod,Balod Assembly,Balod Assembly,Balod Assembly,Rural,188438,116487,60103,56384,29474,10689,76.17,56,54,80,58,0,71.61,14.78,30.86,47.36,60.31,69.22,60.31,Declining,Low,74.31
Chhattisgarh,Baloda Bazar,Baloda Bazar Assembly,Baloda Bazar Assembly,Baloda Bazar Assembly,Rural,300987,215397,115556,99841,58928,21220,68.57,79,63,91,83,0,70.09,18.68,34.28,46.08,62.39,71.95,62.39,Stable,Low,78.25
Chhattisgarh,Balrampur,Balrampur Assembly,Balrampur Assembly,Balrampur Assembly,Rural,442299,307589,164299,143290,102039,45985,64.16,59,60,69,68,0,76.33,18.08,31.96,49.15,58.23,73.65,58.23,Declining,Low,77.21
Chhattisgarh,Bastar,Bastar Assembly,Bastar Assembly,Bastar Assembly,Rural,528805,366939,190950,175989,93767,42867,70.37,63,75,77,61,0,68.36,15.97,32.4,42.69,57.67,65.32,57.67,Stable,Low,71.19
Chhattisgarh,Bemetara,Bemetara Assembly,Bemetara Assembly,Bemetara Assembly,Urban,419017,292433,149322,143111,110379,37221,81.95,84,92,63,91,0,58.7,14.57,25.68,37.83,50.86,59.42,50.86,Accelerating,Low,63.49
Chhattisgarh,Bijapur,Bijapur Assembly,Bijapur Assembly,Bijapur Assembly,Rural,361211,259825,134233,125592,83936,37294,65.97,60,64,74,78,0,71.89,14.44,31.35,49.74,61.58,73.4,61.58,Declining,Low,77.28
Chhattisgarh,Bilaspur,Bilaspur Assembly,Bilaspur Assembly,Bilaspur Assembly,Urban,212174,129746,65928,63818,39575,12747,78.45,74,68,72,70,0,71.11,13.91,30.66,47.03,60.57,67.81,60.57,Declining,Low,74.05
